language1,language2,cosine,gram
Urdu,Ossetian,0.680500614998371,unigram
Urdu,Pashto,-0.5456919132138612,unigram
Urdu,Komi,0.5960070454421645,unigram
Urdu,Vepsian,0.3641689293758427,unigram
Urdu,Erzya,0.20702395363292111,unigram
Urdu,Konkani,-0.03710375129484368,unigram
Urdu,Odia,0.3138347611690485,unigram
Urdu,Maithili,0.764000456140293,unigram
Urdu,Sanskrit,0.3952317099278132,unigram
Urdu,Sindhi,0.0790804053961354,unigram
Urdu,Sinhalese,0.14322341870094013,unigram
Urdu,Esperanto,0.16906018814984128,unigram
Urdu,Ido,0.17362439854302147,unigram
Urdu,Lithuanian,0.7274392969680952,unigram
Urdu,Latvian,0.1281674157938736,unigram
Urdu,Kannada,0.031072377458568994,unigram
Urdu,Malayalam,0.8693456835866735,unigram
Urdu,Breton,0.560113751134129,unigram
Urdu,Irish,0.17511008266247974,unigram
Urdu,Manx,-0.38027615248998103,unigram
Urdu,Burmese,0.6522351784761374,unigram
Urdu,Mingrelian,0.31208687933522866,unigram
Urdu,Lao,0.8761308816278329,unigram
Urdu,Thai,-0.15244782273827126,unigram
